Date,Open,High,Low,Close,Adj Close,Volume
2022-11-09,25042.359375,25106.390625,24883.039063,134616.6,25106.330078,248210000
2022-11-10,25142.810547,25196.750000,25009.099609,123311.49,25053.109375,241700000
2022-11-11,25152.029297,25458.980469,25152.029297,139024.15,25425.759766,278110000
2022-11-12,25480.859375,25625.949219,25480.859375,155221.58,25543.269531,263330000
2022-11-13,25460.650391,25558.900391,25308.089844,162603.17,25439.390625,313010000
2022-11-14,25564.630859,25883.720703,25564.630859,145725.88,25883.250000,328530000
2022-11-15,25849.849609,25961.439453,25820.009766,140515.3,25891.320313,280620000
2022-11-16,25872.259766,25986.199219,25846.480469,125686.09,25954.439453,287880000
2022-11-17,25922.410156,25938.880859,25762.210938,107598.68,25850.630859,255710000
2022-11-18,25906.269531,26052.900391,25906.269531,105031.79,26031.810547,279760000
2022-11-19,26126.150391,26241.419922,26080.660156,122967.44,26091.949219,281600000
2022-11-20,26051.609375,26155.289063,25966.009766,160152.17,26057.980469,257850000
2022-11-21,25995.599609,26039.679688,25877.240234,126943.56,25985.160156,255380000
2022-11-22,25984.279297,26029.210938,25896.560547,128003.31,25916.000000,338520000
2022-11-23,26019.669922,26143.919922,25914.369141,100765.81,26026.320313,289890000
2022-11-24,26122.189453,26155.980469,25611.550781,112086.53,25819.650391,295510000
2022-11-25,25829.070313,25877.150391,25725.630859,108734.96,25806.630859,252260000
2022-11-26,25818.759766,25837.609375,25633.710938,93817.19,25673.460938,256250000
2022-11-27,25645.449219,25645.449219,25352.550781,111011.97,25473.230469,289140000
2022-11-28,25347.380859,25466.140625,25252.460938,95998.84,25450.240234,270500000
2022-11-29,25208.000000,25661.630859,25208.000000,99965.16,25650.880859,309790000
2022-11-30,25600.300781,25675.439453,25522.169922,89425.48,25554.660156,317730000
2022-12-01,25637.230469,25776.490234,25571.310547,94447.56,25702.890625,331410000
2022-12-02,25692.310547,25752.839844,25621.310547,115419.6,25709.939453,302790000
2022-12-03,25720.960938,25927.910156,25649.699219,121033.95,25848.869141,616910000
2022-12-04,25801.880859,25924.769531,25785.660156,155700.82,25914.099609,399530000
2022-12-05,25987.869141,26109.679688,25814.919922,147966.9,25887.380859,342250000
2022-12-06,25867.789063,25929.519531,25670.630859,124330.87,25745.669922,321980000
2022-12-07,25688.439453,26009.900391,25657.779297,117821.9,25962.509766,335250000
2022-12-08,25844.650391,25877.009766,25501.449219,92681.47,25502.320313,386510000
2022-12-09,25490.720703,25603.269531,25372.259766,105204.84,25516.830078,303120000
2022-12-10,25649.560547,25796.289063,25544.779297,120764.3,25657.730469,305110000
2022-12-11,25676.339844,25758.169922,25425.269531,146173.34,25625.589844,270340000
2022-12-12,25693.320313,25743.410156,25576.689453,120902.41,25717.460938,237170000
2022-12-13,25827.310547,25949.320313,25771.669922,123881.9,25928.679688,300620000
